,CustomerID,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,LastPurchase,FirstPurchase,cluster
0,12347,7,224.82,1294.32,615.7142857142857,4310.0,11.237122969837587,26.37587006960557,20.80510440835267,29.540371229698376,12.0415313225058,2,367,4
1,12348,4,227.44,892.8,449.31,1797.24,38.01606908370613,41.95321715519352,0.0,0.0,20.030713761100355,75,358,1
2,12349,1,1757.55,1757.55,1757.55,1757.55,4.5131006230263715,26.506216039372987,12.245455321327988,10.713777701914598,46.021450314358056,18,18,0
3,12350,1,334.4,334.4,334.4,334.4,11.692583732057415,48.44497607655503,27.900717703349287,0.0,11.961722488038278,310,310,3
4,12352,7,144.35,840.3,340.8157142857143,2385.71,1.299403531862632,15.705177913493257,4.07132467902637,14.601523236269287,64.32257063934846,36,296,10
5,12353,1,89.0,89.0,89.0,89.0,0.0,13.03370786516854,19.887640449438205,0.0,67.07865168539325,204,204,10
6,12354,1,1079.4,1079.4,1079.4,1079.4,14.950898647396702,31.176579581248838,10.825458588104503,19.70075968130443,23.346303501945524,232,232,0
7,12355,1,459.4,459.4,459.4,459.4,0.0,53.28689595124075,11.558554636482372,25.27209403569874,9.882455376578147,214,214,3
8,12356,3,58.349999999999994,2271.62,937.1433333333333,2811.43,14.14760459979441,28.062231675695294,12.587900107774336,7.25609387393604,37.94616974279993,22,325,4
9,12357,1,6207.67,6207.67,6207.67,6207.67,5.089832416993816,18.475531076877477,14.68473678529948,28.350089486071266,33.399810234757965,33,33,8
10,12358,2,484.86,683.2,584.03,1168.06,0.0,6.348988921801962,1.5153331164494976,1.284180607160591,90.85149735458796,1,150,10
11,12359,4,547.5,2680.55,1535.12,6140.48,2.5463807389650324,10.610571160560738,11.596487571004223,18.961058418885823,56.28550211058418,57,331,0
12,12360,3,534.7,1083.58,887.3533333333334,2662.06,11.4783288130245,19.52698286289565,25.986641923923575,12.567335071335735,30.440711328820534,52,200,4
13,12361,1,189.9,189.9,189.9,189.9,0.0,73.45971563981041,18.64139020537125,0.0,7.898894154818326,287,287,3
14,12362,10,303.76,829.99,515.458,5154.58,5.426242293261526,27.29417333710991,21.888107275471523,22.14225019303222,23.24922690112483,3,295,4
15,12363,2,252.9,299.1,276.0,552.0,17.934782608695652,37.5,30.543478260869566,5.380434782608696,8.641304347826088,109,242,4
16,12364,4,79.8,623.92,328.275,1313.1,48.54314218262128,32.844413982179574,3.8192064580001532,2.6387936943111723,12.154443682887825,7,112,1
17,12365,2,320.69,320.69,320.69,641.38,0.785805606660638,22.95051295643768,16.55804671177773,7.717733636845551,51.9879010882784,291,291,10
18,12367,1,168.9,168.9,168.9,168.9,25.932504440497333,41.56305506216695,15.985790408525755,5.86145648312611,10.657193605683837,4,4,3
