mean,categ_0,categ_1,categ_2,categ_3,categ_4
139.9925,0.0,0.0,0.0,0.0,0.0
3.75,0.0,0.0,0.0,0.0,0.0
129.45000000000002,0.0,0.0,0.0,0.0,0.0
399.49777777777774,0.0,0.0,0.0,0.0,0.0
321.4,0.0,0.0,0.0,0.0,0.0
71.4,0.0,0.0,0.0,0.0,0.0
197.0,0.0,0.0,0.0,0.0,0.0
367.69,0.0,0.0,0.0,0.0,0.0
399.092,0.0,0.0,0.0,0.0,0.0
308.0642857142857,0.0,0.0,0.0,0.0,0.0
364.615,0.0,0.0,0.0,0.0,0.0
1453.425,0.0,0.0,0.0,0.0,0.0
539.83,0.0,0.0,0.0,0.0,0.0
350.925,0.0,0.0,0.0,0.0,0.0
421.3966666666667,0.0,0.0,0.0,0.0,0.0
522.4933333333333,0.0,0.0,0.0,0.0,0.0
106.1,0.0,0.0,0.0,0.0,0.0
527.05,0.0,0.0,0.0,0.0,0.0
603.7055555555556,0.0,0.0,0.0,0.0,0.0
191.49,0.0,0.0,0.0,0.0,0.0
782.312,0.0,0.0,0.0,0.0,0.0
225.9,0.0,0.0,0.0,0.0,0.0
336.4,0.0,0.0,0.0,0.0,0.0
329.61,0.0,0.0,0.0,0.0,0.0
1764.72,0.0,0.0,0.0,0.0,0.0
248.0,0.0,0.0,0.0,0.0,0.0
491.0350000000001,0.0,0.0,0.0,0.0,0.0
384.06,0.0,0.0,0.0,0.0,0.0
146.87,0.0,0.0,0.0,0.0,0.0
320.49666666666667,0.0,0.0,0.0,0.0,0.0
438.15,0.0,0.0,0.0,0.0,0.0
572.9200000000001,0.0,0.0,0.0,0.0,0.0
1611.4,0.0,0.0,0.0,0.0,0.0
475.7825,0.0,0.0,0.0,0.0,0.0
169.97500000000002,0.0,0.0,0.0,0.0,0.0
861.74,0.0,0.0,0.0,0.0,0.0
396.87,0.0,0.0,0.0,0.0,0.0
149.89,0.0,0.0,0.0,0.0,0.0
253.662,0.0,0.0,0.0,0.0,0.0
106.27,0.0,0.0,0.0,0.0,0.0
542.116,0.0,0.0,0.0,0.0,0.0
131.78,0.0,0.0,0.0,0.0,0.0
183.6,0.0,0.0,0.0,0.0,0.0
111.98,0.0,0.0,0.0,0.0,0.0
343.9141666666667,0.0,0.0,0.0,0.0,0.0
218.47,0.0,0.0,0.0,0.0,0.0
331.47,0.0,0.0,0.0,0.0,0.0
337.97,0.0,0.0,0.0,0.0,0.0
216.11666666666667,0.0,0.0,0.0,0.0,0.0
481.6666666666667,0.0,0.0,0.0,0.0,0.0
225.9,0.0,0.0,0.0,0.0,0.0
413.46,0.0,0.0,0.0,0.0,0.0
431.674,0.0,0.0,0.0,0.0,0.0
449.73,0.0,0.0,0.0,0.0,0.0
319.82,0.0,0.0,0.0,0.0,0.0
530.3969999999999,0.0,0.0,0.0,0.0,0.0
232.21,0.0,0.0,0.0,0.0,0.0
432.0875,0.0,0.0,0.0,0.0,0.0
215.77809523809523,0.0,0.0,0.0,0.0,0.0
218.89666666666668,0.0,0.0,0.0,0.0,0.0
450.6666666666667,0.0,0.0,0.0,0.0,0.0
160.54000000000002,0.0,0.0,0.0,0.0,0.0
379.3333333333333,0.0,0.0,0.0,0.0,0.0
327.06,0.0,0.0,0.0,0.0,0.0
270.766,0.0,0.0,0.0,0.0,0.0
114.6,0.0,0.0,0.0,0.0,0.0
614.0466666666667,0.0,0.0,0.0,0.0,0.0
138.49,0.0,0.0,0.0,0.0,0.0
308.96500000000003,0.0,0.0,0.0,0.0,0.0
433.795,0.0,0.0,0.0,0.0,0.0
181.95,0.0,0.0,0.0,0.0,0.0
25.5,0.0,0.0,0.0,0.0,0.0
325.75,0.0,0.0,0.0,0.0,0.0
180.465,0.0,0.0,0.0,0.0,0.0
298.8616666666667,0.0,0.0,0.0,0.0,0.0
386.284,0.0,0.0,0.0,0.0,0.0
363.95,0.0,0.0,0.0,0.0,0.0
1048.85,0.0,0.0,0.0,0.0,0.0
502.36,0.0,0.0,0.0,0.0,0.0
320.5135294117647,0.0,0.0,0.0,0.0,0.0
341.595,0.0,0.0,0.0,0.0,0.0
148.74249999999998,0.0,0.0,0.0,0.0,0.0
193.865,0.0,0.0,0.0,0.0,0.0
171.8788888888889,0.0,0.0,0.0,0.0,0.0
772.9,0.0,0.0,0.0,0.0,0.0
510.74,0.0,0.0,0.0,0.0,0.0
384.08,0.0,0.0,0.0,0.0,0.0
413.26450000000006,0.0,0.0,0.0,0.0,0.0
444.68,0.0,0.0,0.0,0.0,0.0
575.9399999999999,0.0,0.0,0.0,0.0,0.0
553.2,0.0,0.0,0.0,0.0,0.0
90.6,0.0,0.0,0.0,0.0,0.0
171.85399999999998,0.0,0.0,0.0,0.0,0.0
294.9633333333333,0.0,0.0,0.0,0.0,0.0
251.8,0.0,0.0,0.0,0.0,0.0
370.17333333333335,0.0,0.0,0.0,0.0,0.0
336.17,0.0,0.0,0.0,0.0,0.0
139.10000000000002,0.0,0.0,0.0,0.0,0.0
110.21,0.0,0.0,0.0,0.0,0.0
229.78,0.0,0.0,0.0,0.0,0.0
922.1,0.0,0.0,0.0,0.0,0.0
622.7921428571428,0.0,0.0,0.0,0.0,0.0
212.595,0.0,0.0,0.0,0.0,0.0
308.58000000000004,0.0,0.0,0.0,0.0,0.0
368.755,0.0,0.0,0.0,0.0,0.0
598.8266666666667,0.0,0.0,0.0,0.0,0.0
193.05,0.0,0.0,0.0,0.0,0.0
219.6266666666667,0.0,0.0,0.0,0.0,0.0
255.355,0.0,0.0,0.0,0.0,0.0
339.6,0.0,0.0,0.0,0.0,0.0
169.298,0.0,0.0,0.0,0.0,0.0
689.3706,0.0,0.0,0.0,0.0,0.0
1405.4,0.0,0.0,0.0,0.0,0.0
330.9,0.0,0.0,0.0,0.0,0.0
208.32,0.0,0.0,0.0,0.0,0.0
351.68,0.0,0.0,0.0,0.0,0.0
196.64,0.0,0.0,0.0,0.0,0.0
84.775,0.0,0.0,0.0,0.0,0.0
368.612,0.0,0.0,0.0,0.0,0.0
256.4511111111111,0.0,0.0,0.0,0.0,0.0
101.1,0.0,0.0,0.0,0.0,0.0
151.42,0.0,0.0,0.0,0.0,0.0
360.014,0.0,0.0,0.0,0.0,0.0
584.4233333333334,0.0,0.0,0.0,0.0,0.0
486.67428571428576,0.0,0.0,0.0,0.0,0.0
309.65,0.0,0.0,0.0,0.0,0.0
223.435,0.0,0.0,0.0,0.0,0.0
353.9171428571429,0.0,0.0,0.0,0.0,0.0
130.83197802197802,0.0,0.0,0.0,0.0,0.0
437.24,0.0,0.0,0.0,0.0,0.0
405.776,0.0,0.0,0.0,0.0,0.0
305.06,0.0,0.0,0.0,0.0,0.0
266.87,0.0,0.0,0.0,0.0,0.0
276.65,0.0,0.0,0.0,0.0,0.0
151.50625,0.0,0.0,0.0,0.0,0.0
287.13,0.0,0.0,0.0,0.0,0.0
497.37,0.0,0.0,0.0,0.0,0.0
358.6133333333333,0.0,0.0,0.0,0.0,0.0
635.6800000000001,0.0,0.0,0.0,0.0,0.0
656.63,0.0,0.0,0.0,0.0,0.0
307.424,0.0,0.0,0.0,0.0,0.0
291.6928571428571,0.0,0.0,0.0,0.0,0.0
108.98,0.0,0.0,0.0,0.0,0.0
228.955,0.0,0.0,0.0,0.0,0.0
